Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Change Information,Unnamed: 10,Unnamed: 11,Unnamed: 12
BMS ID of Linked GDM Global/Regional Attribute,GDD Name of Linked GDM Global/Regional Attribute,GDD Name of Technical Attribute,Technical Attribute is Conditional/ Optional,BMS ID,GDD Name,Attribute Definition (GDD),short xPath,GDSN Technical Attribute,Change Type,WR Number,Detailed Change Information,Release Version
3739,width,@measurementUnitcode,Conditional,3740,width/@measurementUnitcode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemMeasurementsModule/tradeItemMeasurements/width/@measurementUnitcode,YES,nan,nan,nan,nan
3741,netContentStatement,@languageCode,Conditional,3742,netContentStatement/@languageCode,A code representing the language used in the description.,tradeItemMeasurementsModule/tradeItemMeasurements/netContentStatement/@languageCode,YES,nan,nan,nan,nan
3759,depth,@measurementUnitcode,Conditional,3760,depth/@measurementUnitcode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemMeasurementsModule/tradeItemMeasurements/additionalTradeItemDimensions/depth/@measurementUnitcode,YES,nan,nan,nan,nan
3762,height,@measurementUnitcode,Conditional,3763,height/@measurementUnitcode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemMeasurementsModule/tradeItemMeasurements/additionalTradeItemDimensions/height/@measurementUnitcode,YES,nan,nan,nan,nan
3764,width,@measurementUnitcode,Conditional,3765,width/@measurementUnitcode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemMeasurementsModule/tradeItemMeasurements/additionalTradeItemDimensions/width/@measurementUnitcode,YES,nan,nan,nan,nan
3775,drainedWeight,@measurementUnitCode,Conditional,3776,drainedWeight/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemMeasurementsModule/tradeItemMeasurements/tradeItemWeight/drainedWeight/@measurementUnitCode,YES,nan,nan,nan,nan
3777,grossWeight,@measurementUnitCode,Conditional,3778,grossWeight/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemMeasurementsModule/tradeItemMeasurements/tradeItemWeight/grossWeight/@measurementUnitCode,YES,nan,nan,nan,nan
3779,netWeight,@measurementUnitCode,Conditional,3780,netWeight/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemMeasurementsModule/tradeItemMeasurements/tradeItemWeight/netWeight/@measurementUnitCode,YES,nan,nan,nan,nan
3800,descriptiveSize,@languageCode,Conditional,3801,descriptiveSize/@languageCode,A code representing the language used in the description.,tradeItemSizeModule/size/descriptiveSize/@languageCode,YES,nan,nan,nan,nan
3820,maximumTemperature,@temperatureMeasurementUnitCode,Conditional,3821,maximumTemperature/@temperatureMeasurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/maximumTemperature/@temperatureMeasurementUnitCode,YES,nan,nan,nan,nan
3826,minimumTemperature,@temperatureMeasurementUnitCode,Conditional,3827,minimumTemperature/@temperatureMeasurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/minimumTemperature/@temperatureMeasurementUnitCode,YES,nan,nan,nan,nan
375,allergenTypeCode,@codeListAgencyName,Optional,5510,allergenTypeCode/@codeListAgencyName,A name of the agency which manages the code list for example ISO.,allergenInformationModule/allergenRelatedInformation/allergen/allergenTypeCode/@codeListAgencyName,YES,nan,nan,nan,nan
613,batteryTechnologyTypeCode,@codeListAgencyName,Optional,5530,batteryTechnologyTypeCode/@codeListAgencyName,A name of the agency which manages the code list for example ISO.,batteryInformationModule/batteryDetail/batteryTechnologyTypeCode/@codeListAgencyName,YES,nan,nan,nan,nan
